Department,Agency,Use Case ID (Added),Use Case Name,Short Description,Use Case Category,Use Case Type,AI Techniques,Date Published,
Department of Agriculture,ARS,AI1,4% Repair Dashboard,"The model reviews the descriptions of expenses tagged to repairs and maintenance and classifies expenses as ""repair"" or ""not repair"" based on keywords in context.",Operational,Expense Categorization,NLP,5/15/23,
Department of Agriculture,ARS,AI2,ARS Project Mapping,NLP of research project plans including term analysis and clustering enables national program leaders to work with an interactive dashboard to find synergies and patterns within and across the various ARS research program portfolios.,Operational,Research Project Plans,NLP,5/15/23,
Department of Agriculture,ARS,AI3,NAL Automated indexing,"Cogito (vendor) software, uses AI for automated subject indexing to annotate peer reviewed journal articles (~500,000 annually) using the National Ag Library Thesaurus concept space (NALT). Only NALT concepts are annotated as metadata to content in the Library's bibliographic citation database, AGRICOLA, PubAg, and Ag Data Commons.",Operational,Research Annotations,NLP,5/15/23,
Department of Agriculture,APHIS,AI4,Predictive modeling of invasive pest species and category at the port of entry using machine learning algorithms,Macine learning algorithms are used to develop with inspection data and improve prediction ability of detecting invasive/quarantine significant pests at the port of entry.,Mission,Animal Identification,ML,5/15/23,
Department of Agriculture,APHIS,AI5,Detection of pre-symptomatic HLB infected citrus,Identify pixels with HLB infection signature in multispectral and thermal imagery,Mission,Landscape Identification,Visual Analysis,5/15/23,
Department of Agriculture,APHIS,AI6,High throughput phenotyping in citrus orchards,"Locate, count, and categorize citrus trees in an orchard to monitor orchard health",Mission,Landscape Identification,ML,5/15/23,
Department of Agriculture,APHIS,AI7,Detection of aquatic weeds,Identify and locate aquatic weeds,Mission,Landscape Identification,ML,5/15/23,
Department of Agriculture,APHIS,AI8,Automated Detection & Mapping of Host Plants from Ground Level Imagery,Generate maps of target trees from ground-level (streetview) imagery,Mission,Landscape Identification,ML,5/15/23,
Department of Agriculture,ERS,AI9,Democratizing Data,"The purpose of this project is to use AI tools, machine learning and natural language processing to understand how publicly-funded data and evidence are used to serve science and society.",Mission,Research Impact,NLP,5/15/23,
Department of Agriculture,ERS,AI10,Westat,"A competition to find automated, yet effective, ways of linking USDA nutrition information to 750K food items in a proprietary data set of food purchases and acquisitions. Competing teams used a number of  AI methods including Natural Language Processing (NLP), random forest, and semantic matching.",Mission,Food Categorization (Nutrition Information),"NLP, ML",5/15/23,
Department of Agriculture,FPAC,AI11,Land Change Analysis Tool (LCAT),We employ a random forest machine learning classifier to produce high resolution land cover maps from aerial and/or satellite imagery.  Training data is generate from a custom-built web application.  We built and operate a 192-node docker cluster to parallize CPU-intensive processing tasks.  We are publishing results through a publicly available  Image service.  To date we have mapped over 600 million acres and have generated over 700 thousand traiing samples.,Mission,Landscape Identification,ML,5/15/23,
Department of Agriculture,Federal CDO Council,AI12,OCIO/CDO Council Comment Analysis Tool,"The Comment Analysis pilot has shown that a toolset leveraging recent advances in Natural Language Processing (NLP) can aid the regulatory comment analysis process. We developed tools that help comment reviewers identify the topics and themes of comments, as well as group comments that are semantically similar. Tools like these offer significant value by creating efficiencies through novel insights and streamlined processing of comments, reducing duplicative, upfront development efforts across government, and ultimately realizing cost savings for agencies and the USG. ",Operational,Public Comment Analysis,NLP,5/15/23,
Department of Agriculture,FNS,AI13,Retailer Receipt Analysis,"The Retailer Receipt Analysis is a Proof of Concept (POC) that uses Optical Character Recognition (OCR), an application of artificial intelligence on a sample (no more than 1000) of FNS receipt and invoice data. Consultants will use this data to demonstrate how the existing manual process can be automated, saving staff time, ensuring accurate review, and detecting difficult patterns. The goal of this POC will pave the way for a review system that (1) has an automated workflow and learns from analyst feedback (2) can incorporate know SNAP fraud patterns, look for new patterns, and visualize alerts on these patterns on retailer invoices and receipts.",Mission,SNAP Receipt Review,ML,5/15/23,
Department of Agriculture,Forest Service,AI14,Ecosystem Management Decision Support System (EMDS),"EMDS is a spatial decision support system for landscape analysis and planning that runs as a component of ArcGIS and QGIS. Users develop applications for their specific problem that may use any combination of four AI engines for 1) logic processing, 2) multi-criteria decision analysis, 3) Bayesian networks, and Prolog-based decision trees.",Mission,Landscape Identification,ML,5/15/23,
Department of Agriculture,Forest Service,AI15,Wildland Urban Interface - Mapping Wildfire Loss,"This is a proof-of-concept study to investigate the use of machine learning (deep learning / convolutional neural networks) and object-based image classification techniques to identify buildings, building loss, and defensible space around buildings before and after a wildfire event in wildland-urban interface settings.",Mission,Landscape Identification - Post Fire,ML,5/15/23,
Department of Agriculture,Forest Service,AI16,CLT Knowledge Database,"The CLT knowledge database catalogs cross-laminated timber information in an interface that helps users find relevant information. The information system uses data aggregator bots that search the internet for relevant information. These bots search for hundreds of keywords and use machine learning to determine if what is found is relevant. The search engine uses intelligent software to locate and update pertinent CLT references, as well as categorize information with respect to common application and interest areas. As of 2/24/2022, the CLT knowledge database has cataloged >3,600 publications on various aspects of CLT. This system fosters growth of mass timber markets by disseminating knowledge and facilitating collaboration among stakeholders, and by reducing the risk of duplication of efforts. Manufacturers, researchers, design professionals, code officials, government agencies, and other stakeholders directly benefit from the tool, thereby supporting the increasing use of mass timber, which benefits forest health by increasing the economic value of forests.",Operational,Knowledge Catalog,ML,5/15/23,
Department of Agriculture,Forest Service,AI17,RMRS Raster Utility,"RMRS Raster Utility is a .NET object oriented library that simplifies data acquisition, raster sampling, and statistical and spatial modeling while reducing the processing time and storage space associated with raster analysis. It includes machine learning techniques.",Mission,Research Analysis,ML,5/15/23,
Department of Agriculture,Forest Service,AI18,TreeMap 2016,"TreeMap 2016 provides a tree-level model of the forests of the conterminous United States. It matches forest plot data from Forest Inventory and Analysis (FIA) to a 30x30 meter (m) grid. TreeMap 2016 is being used in both the private and public sectors for projects including fuel treatment planning, snag hazard mapping, and estimation of terrestrial carbon resources. A random forests machine-learning algorithm was used to impute the forest plot data to a set of target rasters provided by Landscape Fire and Resource Management Planning Tools (LANDFIRE: https://landfire.gov). Predictor variables consisted of percent forest cover, height, and vegetation type, as well as topography (slope, elevation, and aspect), location (latitude and longitude), biophysical variables (photosynthetically active radiation, precipitation, maximum temperature, minimum temperature, relative humidity, and vapour pressure deficit), and disturbance history (time since disturbance and disturbance type) for the landscape circa 2016.",Mission,Landscape - Planning,ML,5/15/23,
Department of Agriculture,Forest Service,AI19,Landscape Change Monitoring System (LCMS),"The Landscape Change Monitoring System (LCMS) is a National landsat/sentinal remote sensing-based data produced by the USDA Forest Service for mapping and monitoring changes related to vegetation canopy cover, as well as land cover and land use. The process utilizes temporal change classifications together with training data in a supervised classification process for vegetation gain, and loss as well as land cover and use.",Mission,Landscape Identification,"ML, Visual Analysis",5/15/23,
Department of Agriculture,Forest Service,AI20,Geospatial and Remote Sensing Training Courses,"Several courses are offered which teach the use of software and scripting which allow for machine learning.  The courses change, but current topics include Intro and Advanced Change Detection, eCognition (software package), Geospatial Scripting for Google Earth Engine.  Some of the courses show how to use Collect Earth Online.",Mission,Research Analysis,ML,5/15/23,
Department of Agriculture,Forest Service,AI21,Forest Health Detection Monitoring,"Machine learning models are used to (1) upscale training data, using Sentinel-2, Landsat,  MODIS, and lidar imagery, that was collected from both the field and high-resolution imagery to map and monitor stages of forest mortality and defoliation across the United States, and (2) to post-process raster outputs to vector polygons.",Mission,Landscape Identification,ML,5/15/23,
Department of Agriculture,NASS,AI22,Cropland Data Layer,"A machine learning algorithm is used to interpret readings from satellite-based sensors and CLASSIFY the type of crop or activity that falls in each 30 square meter pixel (a box of fixed size) on the ground.  The algorithms are trained on USDA&%2339;s Farm Services Agency data and other sources of data as sources of &quot;ground truth&quot;.  It allows us to not only produce a classification, but to assess the accuracy of the classification as well.  For commodities, like corn and soybeans, the CDL is highly accurate.  The CDL has been produced for national coverage since 2008.  Some summary and background about the CDL is available in a number of peer reviewed research papers and presentations",Mission,Landscape Identification,ML,5/15/23,
Department of Agriculture,NASS,AI23,List Frame Deadwood Identification,"The deadwood model leverages boosted regression trees with inputs such as  administrative linkage data, frame data, and historical response information as inputs, to produce a propensity score representing a relative likelihood of a farm operation being out of business.  Common tree splits were identified using the model and combined with expert knowledge to develop a recurring process for deadwood clean up.",Mission,Landscape Identification,ML,5/15/23,
Department of Agriculture,NIFA,AI24,Climate Change Classification NLP,"The model classifies NIFA funded projects as climate change related or not climate related through natural language processing techniques. The model input features include text fields containing the project's title, non-technical summary, objectives and keywords. The target is a dummy variable classification of projects as climate change related or not climate change related.",Operational,Project Classification,NLP,5/15/23,
Department of Agriculture,OSSP,AI25,Video Surveillance System,"The Video Surveillance System: the VSS system design will include a video management system, NVRs, DVRs, encoders, fixed cameras, Pan and Tilt cameras, network switches, routers, IP cables, equipment racks and mounting hardware. The Video Surveillance System (VSS)- shall control multiple sources of video surveillance subsystems to collect, manage, and present video clearly and concisely. VMS shall integrate the capabilities of each subsystem across single or multiple sites, allowing video management of any compatible analog or digital video device through a unified configuration platform and viewer. Disparate video systems are normalized and funneled through a shared video experience. Drag and drop cameras from the Security Management System hardware tree into VMS views and leverage Security Management System alarm integration and advanced features that help the operator track a target through a set of sequential cameras with a simplified method to select a new central camera and surrounding camera views.",Operational,Security,Visual Analysis,5/15/23,
Department of Agriculture,OCIO,AI26,Acquisition Approval Request Compliance Tool,"A natural language processing (NLP) model was developed to utilize the text in procurement header and line descriptions within USDA's Integrated Acquisition System (IAS) to determine the likelihood that an award is IT-related, and therefore might require an AAR. The model uses the text characteristics for awards that have an AAR number entered into IAS and then calculates the probability of being IT-related for those procurements that did not have an AAR Number entered in IAS.",Operational,Procurement,NLP,5/15/23,
Department of Agriculture,NRCS,AI27,Operational water supply forecasting for western US rivers,"Western US water management is underpinned by forecasts of spring-summer river flow volumes made using operational hydrologic models. The USDA Natural Resources Conservation Service (NRCS) National Water and Climate Center operates the largest such forecast system regionally, carrying on a nearly century-old tradition. The NWCC recently developed a next-generation prototype for generating such operational water supply forecasts (WSFs), the multi-model machine-learning metasystem (M4), which integrates a variety of AI and other data-science technologies carefully chosen or developed to satisfy specific user needs. Required inputs are data around snow and precipitation from the NRCS Snow Survey and Water Supply Forecast program SNOTEL environmental monitoring network, but are flexible.  In hindcasting test-cases spanning diverse environments across the western US and Alaska, out-of-sample accuracy improved markedly over current benchmarks. Various technical design elements, including multi-model ensemble modeling, autonomous machine learning (AutoML), hyperparameter pre-calibration, and theory-guided data science, collectively permitted automated training and operation.  Live operational testing at a subset of sites additionally demonstrated logistical feasibility of workflows, as well as geophysical explainability of results in terms of known hydroclimatic processes, belying the black-box reputation of machine learning and enabling relatable forecast storylines for NRCS customers.",Mission,River flow estimation,ML,5/15/23,
Department of Agriculture,APHIS,AI28,Standardization of cut flower business names for message set data,"Natural language processing technique. Data are cleaned (e.g., remove punctuation) to facilitate matching. Cosine similarity is calculated, similar terms are matched, and the results are output.",Operational,Data Cleansing,NLP,5/15/23,
Department of Agriculture,OCIO,AI29,Intelligent Ticket Routing,"Routes BMC Remedy tickets to proper work group automatically utilizing python, jupyterhub, scikit learn, gitlab, flask, gunicorn, nginx, erms.",Operational,IT Service Desk Routing,ML,5/15/23,
Department of Agriculture,OCIO,AI30,Predictive Maintenance Impacts,"Predict impacts of DISC maintenance on infrastructure items.  Utilizes: einblick, mysql, python, linux, tableau",Operational,IT Maintence Prediction,ML,5/15/23,
Department of Agriculture,OASCR,AI31,Artificial Intelligence SPAM Mitigation Project,"The AI Solution invoves Robotic Process Automation + AI/ML model solution to automatically classify and remove spam and marketing emails that appear in civil rights complaints email channels. A significant portion of incoming OASCR emails are spam, marketing and phishing emails. ",Operational,SPAM Filter,MLL,5/15/23,
Department of Agriculture,APHIS,AI32,"Approximate string or fuzzy matching, used to automate matching similar, but not identical, text in administrative documents","The algorithm computes a string similarity metric which can be used to classify similar strings into a single category, reducing information duplication and onerous, manual error-checking",Operational,Data Cleansing,Fuzzy Matching,5/15/23,
Department of Agriculture,APHIS,AI33,Training machine learning models to automatically read file attachments and save information into a more convenient Excel format. ,"Artificial intelligence used to automate document processing and information extraction. Program managers often need information from specific form fields that are sent as PDF email attachments. Many emailed documents are received each day, making manually opening each attachment and copying the needed information too time-consuming. ",Operational,Document Processing,ML,5/15/23,
Department of Agriculture,APHIS,AI34,Artificial Intelligence for correlative statistical analysis,"AI-type statistical techniques are used to model predictive relationships between variables. We routinely use modeling approaches such as random forest, artificial neural networks, k-nearest neighbor clustering, and support vector machines, for statistical prediction. ",Mission,Research Analysis,Neural Networks,5/15/23,
Department of Agriculture,NASS,AI35,Census of Agricuilture Response Propensity Scores,"The response propensity scores to the COA are derived from random forest models that use historical data, control data, and other survey data. These scores are used to help target more effective data collection.",Mission,Research Analysis,ML,5/15/23,
Department of Agriculture,NRCS,AI36,Ecological Site Descriptions (machine learning),"Analysis of over 20 million records of soils data and 20,000 text documents of ecological state and transition information.",Mission,Research Analysis,ML,5/15/23,
Department of Agriculture,NRCS,AI37,Conservation Effects Assessment Project,"The goal is to predict conservation benefits at the field level. The model uses farmer survey data, APEX modeling results and environmental data.",Mission,Benefit Predictions (Consumer),ML,5/15/23,
Department of Agriculture,NRCS,AI38,Digital Imagery (no-change) for NRI program,Using neural networks and other AI technologies to detect no-changes in digital imagery for the NRI (national resources inventory) program ,Mission,Landscape Identification,Neural Networks,5/15/23,
Department of Agriculture,FNS,AI39,Nutrition Education & Local Access Dashboard,"The goal of the this Dashboard is to provide a county-level visualization of FNS nutrition support, specifically nutrition education and local food access, alongside other metrics related to hunger and nutritional health. As part of this dashboard, the team developed a K-means clustering script to group States by 7 different clustering options:  Farm to School Intensity & Size, Program Activity Intensity, Ethnicity & Race, Fresh Food Access, School Size, and Program Participation. This allows users to find like-minded, or similar, States based on any of these characteristics, opening up avenues for partnerships with States that they otherwise may not have considered.",Mission,User Group Mapping (Consumer),ML,5/15/23,
Department of Commerce,International Trade Administration (ITA),AI40,B2B Matchmaking,The system's algorithms and AI technology qualifies data and makes B2B matches with event participants according to their specific needs and available opportunities. The systems inputs are data related to event participants and the outputs are suggested B2B matches between participants and a match strength scorecard.,Mission,Event Matching (Consumer),,9/22/22,
Department of Commerce,International Trade Administration (ITA),AI41,Chatbot Pilot,"Chatbot embedded into trade.gov to assist ITA clients with FAQs, locating information and content, suggesting events and services. ITA clients would enter input into the chatbot in the form of questions or responses to prompts. The chatbot would scan ITA content libraries and input from ITA staff and return answers and suggestions based on client persona (exporter, foreign buyer, investor).",Mission,Website ChatBot,,9/22/22,
Department of Commerce,International Trade Administration (ITA),AI42,Consolidated Screening List,"The Consolidated Screening List (CSL) is a list of parties for which the United States Government maintains restrictions on certain exports, reexports, or transfers of items. It consists of the consolidation of 13 export screening lists of the Departments of Commerce, State, and Treasury. The CSL search engine has “Fuzzy Name Search” capabilities, allowing a search without knowing the exact spelling of an entity’s name. In Fuzzy Name mode, the CSL returns a “score” for results that exactly or nearly match the searched name. This is particularly helpful when searching on CSL for names that have been translated into English from non-Latin alphabet languages.",Mission,Website Search function,Fuzzy Matching,9/22/22,
Department of Commerce,International Trade Administration (ITA),AI43,AD/CVD Self Initiation,"The ADCVD program investigates allegations of dumping and/or countervailing of duties. Investigations are initiated when a harmed US entity files a petition identifying the alleged offence and the specific harm inflicted. Self-Initiation will allow ITA to monitor trade patterns for this activity and preemptively initiate investigations by identifying harmed US entities, often before these entities are aware of the harm.",Mission,Dumping Identification - Initiates Compliant,,9/22/22,
Department of Commerce,International Trade Administration (ITA),AI44,Market Diversification Toolkit,The Market Diversification Tool identifies potential new export markets using current trade patterns. A user enters what products they make and the markets they currently export to. The Market Diversification Tool applies a ML algorithm to identify and compare markets that should be considered. The tool brings together product-specific trade and tariff data and economy-level macroeconomic and governance data to provide a picture of which markets make sense for further market research. Users can limit the markets in the results to only the ones they want to consider and modify how each of the eleven indicators in the tool contributes to a country’s overall score. Users can export all the data to a spreadsheet for further analysis.,Mission,Research Analysis - For Users,ML,9/22/22,
Department of Commerce,National Oceanic and Atmospheric Administration (NOAA),AI45,Fisheries Electronic Monitoring Image Library,The Fisheries Electronic Monitoring Library (FEML) will be the central repository for electronic monitoring (EM) data related to marine life.,Mission,Wildlife Imagery,,9/22/22,
Department of Commerce,National Oceanic and Atmospheric Administration (NOAA),AI46,"Passive acoustic analysis using ML in Cook Inlet, AK","Passive acoustic data is analyzed for detection of beluga whales and classification of the different signals emitted by these species. Detection and classification are done with an ensemble of 4 CNN models and weighted scoring developed in collaboration with Microsoft. Results are being used to inform seasonal distribution, habitat use, and impact from anthropogenic disturbance within Cook Inlet beluga critical habitat. The project is aimed to expand to other cetacean species as well as anthropogenic noise.",Mission,Wildlife Identification,,9/22/22,
Department of Commerce,National Oceanic and Atmospheric Administration (NOAA),AI47,AI-based automation of acoustic detection of marine mammals,"Timely processing of these data is critical for adapting mitigation measures as climate change continues to impact Arctic marine mammals. Infrastructure for Noise and Soundscape Tolerant Investigation of Nonspecific Call Types (INSTINCT) is command line software which was developed in-house for model training, evaluation, and deployment of machine learning models for the purpose of marine mammal detection in passive acoustic data. It also includes annotation workflows for labeling and validation. INSTINCT has been successfully deployed in several analyses, and further development of detectors within INSTINCT is desired for future novel studies and automation. Continued integration of AI methods into existing processes of the CAEP acoustics group requires a skilled operator familiar with INSTINCT, machine learning, and acoustic repertoire of Alaska region marine mammals.",Mission,,,9/22/22,
Department of Commerce,National Oceanic and Atmospheric Administration (NOAA),AI48,Developing automation to determine species and count using optical survey data in the Gulf of Mexico,"VIAME - This project focuses on optical survey collected in the Gulf of Mexico: 1) develop an image library of landed catch, 2) develop of automated image processing (ML/DL) to identify and enumerate species from underwater imagery and 3) develop automated algorithms to process imagery in near real time and download information to central database.",,,,9/22/22,
Department of Commerce,National Oceanic and Atmospheric Administration (NOAA),AI49,Fast tracking the use of VIAME for automated identification of reef fish,We've been compiling image libraries for use in creating automated detection and classification models for use in automating the annotation process for the SEAMAP Reef Fish Video survey of the Gulf of Mexico. This work is being conducted in VIAME but we're looking at several other paths forward in the project to identify best performing models. Current status is that models are performing well enough that we will incorporate automated analysis in video reads this spring as part of a supervised annotation-qa/qc process.,,,,9/22/22,
Department of Commerce,National Oceanic and Atmospheric Administration (NOAA),AI50,A Hybrid Statistical-Dynamical System for the Seamless Prediction of Daily Extremes and Subseasonal to Seasonal Climate Variability,"Demonstrate the skill and suitability for operations of a statistical- dynamical prediction system that yields seamless probabilistic forecasts of daily extremes and sub seasonal-toseasonal temperature and precipitation. We recently demonstrated a Bayesian statistical method for post-processing seasonal forecasts of mean temperature and precipitation from the North American Multi-Model Ensemble (NMME). We now seek to test the utility of an updated hybrid statistical-dynamical prediction system that facilitates seamless sub seasonal and seasonal forecasting. Importantly, this method allows for the representation of daily extremes consistent with climate conditions. This project explores the use of machine learning.",,,,9/22/22,
Department of Commerce,National Oceanic and Atmospheric Administration (NOAA),AI51,FathomNet,"FathomNet provides much-needed training data (e.g., annotated, and localized imagery) for developing machine learning algorithms that will enable fast, sophisticated analysis of visual data. We've utilized interns and college class curriculums to localize annotations on NOAA video data for inclusion in FathomNet and to begin training our own algorithms.",,,,9/22/22,
Department of Commerce,National Oceanic and Atmospheric Administration (NOAA),AI52,ANN to improve CFS T and P outlooks,"Fan Y., Krasnopolsky, V., van den Dool H., Wu, C. , and Gottschalck J. (2021). Using Artificial Neural Networks to Improve CFS Week 3-4 Precipitation and Temperature Forecasts.",,,,9/22/22,
Department of Commerce,National Oceanic and Atmospheric Administration (NOAA),AI53,"Drought outlooks by using ML
techniques",Drought outlooks by using ML techniques with NCEP models. Simple NN and Deep Learning techniques used for GEFSv12 to predict Week 1-5 Prcp & T2m over CONUS,,,,9/22/22,
Department of Commerce,National Oceanic and Atmospheric Administration (NOAA),AI54,EcoCast: A dynamic ocean management tool to reduce bycatch and support sustainable fisheries,Operational tool that uses boosted regression trees to model the distribution of swordfish and bycatch species in the California Current,,,,9/22/22,
Department of Commerce,National Oceanic and Atmospheric Administration (NOAA),AI55,Coastal Change Analysis Program (C-CAP),"Beginning in 2015, C-CAP embarked on operational high resolution land cover development effort that utilized geographic object-based image analysis and ML algorithms such as Random Forest to classify coastal land cover from 1m multispectral imagery. More recently, C-CAP has been relying on a CNN approach for the deriving the impervious surface component of their land cover products. The majority of the work is accomplished through external contracts. Prior to the high-res effort, C-CAP focused on developing Landsat based moderate resolution multi-date land cover for the coastal U.S. In 2002, C-CAP adopted a methodology that employed Classification and Regression Trees for land cover data development.",,,,9/22/22,
Department of Commerce,National Oceanic and Atmospheric Administration (NOAA),AI56,Deep learning algorithms to automate right whale photo id,"AI for right whale photo id began with a Kaggle competition and has since expanded to include several algorithms to match right whales from different viewpoints (aerial, lateral) and body part (head, fluke, peduncle). The system is now live and operational on the Flukebook platform for both North Atlantic and southern right whales. We have a paper in review at Mammalian Biology.",,,,9/22/22,
Department of Commerce,National Oceanic and Atmospheric Administration (NOAA),AI57,NN Radiation,"Developing fast and accurate NN LW- and SW radiations for GFS and GEFS. NN LW- and SW radiations have been successfully developed for previous version of GFS, see: doi: 10.1175/2009MWR3149.1 and the stability and robustness of the approach used was demonstrated, see: https://arxiv.org/ftp/arxiv/papers/2103/2103.07024.pdf NN LW- and SW radiations will be developed for the current versions of for GFS and GEFS.",,,,9/22/22,
Department of Commerce,National Oceanic and Atmospheric Administration (NOAA),AI58,NN training software for the new generation of NCEP models,Optimize NCEP EMC Training and Validation System for efficient handling of high spatial resolution model data produced by the new generation of NCEP's operational models,,,,9/22/22,
Department of Commerce,National Oceanic and Atmospheric Administration (NOAA),AI59,Coral Reef Watch,"For more than 20 years, NOAA Coral Reef Watch (CRW) has been using remote sensing, modeled, and in situ data to operate a Decision Support System (DSS) to help resource managers (our target audience), researchers, decision makers, and other stakeholders around the world prepare for and respond to coral reef ecosystem stressors, predominantly resulting from climate change and warming of the Earth's oceans. Offering the world's only global early-warning system of coral reef ecosystem physical environmental changes, CRW remotely monitors conditions that can cause coral bleaching, disease, and death; delivers information and early warnings in near real-time to our user community; and uses operational climate forecasts to provide outlooks of stressful environmental conditions at targeted reef locations worldwide. CRW products are primarily sea surface temperature (SST)-based but also incorporate light and ocean color, among other variables",,,,9/22/22,
