Name,Description,Inventory Example,,
Natural Language Processing (NLP),"NLP involves the use of AI and ML techniques to process, interpret, and understand human language. It encompasses tasks such as sentiment analysis, text classification, machine translation, named entity recognition, and chatbot development.",Acquisition Approval Request Compliance Tool,,
Geospatial Analysis,"Geospatial analysis focuses on processing and interpreting geographical data. It includes tasks such as geographic information systems (GIS), spatial clustering, location-based recommendation systems, and analyzing patterns in geographically distributed data.",Characterization of Sub-surface drainage (tile drains) from satellite imagery,,
Visual Analysis,"Visual analysis deals with understanding and interpreting visual information. This field encompasses a wide range of applications, such as image classification, object detection, image segmentation, and anomaly detection in images.",Developing automation to determine species and count using optical survey data in the Gulf of Mexico,,
Computer Vision,"Computer vision is a subset of visual analysis that focuses specifically on enabling machines to interpret and understand the content of visual data, typically images and videos. Applications of computer vision include facial recognition, gesture recognition, and autonomous vehicle navigation.",Video Surveillance System,,
Forecasting,"Forecasting involves using historical data and statistical techniques to predict future outcomes. In the context of AI and ML, forecasting is widely used in areas such as stock market predictions, demand forecasting, weather forecasting, and sales predictions.","Priority Score Timeliness - forecast the time needed to work on an alert produced by Fraud Prevention System (Random Forest, Decision Tree, Gradient Boost, Generalized Linear Regression)",,
Recommender Systems,"Recommender systems aim to predict and suggest items or content that users might be interested in. These systems are commonly used in online platforms for personalized product recommendations, movie or music suggestions, and content curation.",B2B Matchmaking,,
Anomaly Detection,"Anomaly detection focuses on identifying unusual patterns or outliers in datasets. It is applied in various domains, such as fraud detection, network intrusion detection, and equipment failure prediction.",Supply Chain Fraud and Risk Models,,
Sentiment Analysis,"Sentiment analysis, also known as opinion mining, involves determining the sentiment or emotional tone expressed in text data. This technique is used to gauge public opinion on products, services, or events through social media posts, reviews, and customer feedback.",eRecords M/L Metadata Enrichment,,
Speech Recognition,"Speech recognition enables machines to convert spoken language into written text. It is used in virtual assistants, transcription services, and voice-operated systems.",Chatbot - Voice,,
Time Series Analysis,"Time series analysis deals with data collected over time at regular intervals. It involves techniques like autoregressive models, moving averages, and seasonality analysis. Time series analysis is widely used in financial forecasting, economic analysis, and resource planning.",Predictive Intelligence - Incident Assignment for Quality Service Center (QSC).,,
Clustering,"Clustering is an unsupervised learning technique that groups similar data points together based on their similarities. It is used for customer segmentation, image segmentation, and anomaly detection.",Artificial Intelligence for correlative statistical analysis,,
Classification,"Classification is a supervised learning task where the goal is to assign data points to predefined categories or classes. It is widely used in applications such as email spam detection, disease diagnosis, and image classification.",Land Change Analysis Tool (LCAT),,
Audio Analysis,"Audio analysis involves processing and understanding sound data, such as speech, music, or environmental sounds. Techniques used in audio analysis include speech recognition, speaker identification, music genre classification, sound event detection, and audio-based emotion recognition.",ARMI Amphibian Species ID from Acoustic Data,,
Other,,,,
